coordinates,name,description,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,severitytext,source,iso3,eventtype,GDACS ID,Name,Countries,Start Date,Duration,Impact
"[-50.105, -21.917]",Drought in Brazil,Drought in Brazil,Green Drought in Brazil from: 21 Dec 2017  to: 06 Sep 2018 .,Green,1,Green,0.5,Brazil,2017-12-21T00:00:00,2018-09-06T09:57:00,87604.0,Minor impact for agricultural drought in 87604 km2,GDO,BRA,DR,DR 1012174, South Brazil-2018,Brazil,End of Dec 2017 ,259 days (at 15 Sep 2018),Minor impact for agricultural drought in 87604 km2
"[65.5, 40.996]",Drought in Uzbekistan,Drought in Uzbekistan,Green Drought in Uzbekistan from: 21 Nov 2017  to: 06 Sep 2018 .,Green,1,Green,0.75,Uzbekistan,2017-11-21T00:00:00,2018-09-06T09:57:00,18686.0,Minor impact for agricultural drought in 18686 km2,GDO,UZB,DR,DR 1012172, Central Asia-2018,Uzbekistan,End of Nov 2017 ,289 days (at 15 Sep 2018),Minor impact for agricultural drought in 18686 km2
"[11.087, 53.882]","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",2017-07-21T00:00:00,2019-02-09T15:07:00,80936.0,Minor impact for agricultural drought in 80936 km2,GDO,DEU,DR,DR 1012168, Central Northern Europe-2018,"Germany, Denmark, France, Latvia, Poland, Sweden",End of Jul 2017 ,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
"[144.5, -33.5]",Drought in Australia,Drought in Australia,Orange Drought in Australia from: 21 Feb 2018  to: 24 Nov 2018 .,Orange,2,Orange,1.0,Australia,2018-02-21T00:00:00,2018-11-24T16:27:00,142608.0,Medium impact for agricultural drought in 142608 km2,GDO,AUS,DR,DR 1012191, New South Wales (Australia)-2018,Australia,End of Feb 2018 ,277 days (at 23 Dec 2018),Medium impact for agricultural drought in 142608 km2
"[-50.105, -21.917]",Drought in Brazil,Drought in Brazil,Green Drought in Brazil from: 21 Dec 2017  to: 06 Sep 2018 .,Green,1,Green,0.5,Brazil,2017-12-21T00:00:00,2018-09-06T09:57:00,87604.0,Minor impact for agricultural drought in 87604 km2,GDO,BRA,DR,DR 1012174, South Brazil-2018,Brazil,End of Dec 2017 ,259 days (at 15 Sep 2018),Minor impact for agricultural drought in 87604 km2
"[65.5, 40.996]",Drought in Uzbekistan,Drought in Uzbekistan,Green Drought in Uzbekistan from: 21 Nov 2017  to: 06 Sep 2018 .,Green,1,Green,0.75,Uzbekistan,2017-11-21T00:00:00,2018-09-06T09:57:00,18686.0,Minor impact for agricultural drought in 18686 km2,GDO,UZB,DR,DR 1012172, Central Asia-2018,Uzbekistan,End of Nov 2017 ,289 days (at 15 Sep 2018),Minor impact for agricultural drought in 18686 km2
"[11.087, 53.882]","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",2017-07-21T00:00:00,2019-02-09T15:07:00,80936.0,Minor impact for agricultural drought in 80936 km2,GDO,DEU,DR,DR 1012168, Central Northern Europe-2018,"Germany, Denmark, France, Latvia, Poland, Sweden",End of Jul 2017 ,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
"[144.5, -33.5]",Drought in Australia,Drought in Australia,Orange Drought in Australia from: 21 Feb 2018  to: 24 Nov 2018 .,Orange,2,Orange,1.0,Australia,2018-02-21T00:00:00,2018-11-24T16:27:00,142608.0,Medium impact for agricultural drought in 142608 km2,GDO,AUS,DR,DR 1012191, New South Wales (Australia)-2018,Australia,End of Feb 2018 ,277 days (at 23 Dec 2018),Medium impact for agricultural drought in 142608 km2
"[46.464, -19.498]",Drought in Madagascar,Drought in Madagascar,Orange Drought in Madagascar from: 21 Mar 2018  to: 13 Sep 2018 .,Orange,2,Orange,1.5,Madagascar,2018-03-21T00:00:00,2018-09-13T13:57:00,68692.0,Medium impact for agricultural drought in 68692 km2,GDO,MDG,DR,DR 1012304, Madagascar-2018,Madagascar,End of Mar 2018 ,177 days (at 22 Sep 2018),Medium impact for agricultural drought in 68692 km2
"[-50.105, -21.917]",Drought in Brazil,Drought in Brazil,Green Drought in Brazil from: 21 Dec 2017  to: 06 Sep 2018 .,Green,1,Green,0.5,Brazil,2017-12-21T00:00:00,2018-09-06T09:57:00,87604.0,Minor impact for agricultural drought in 87604 km2,GDO,BRA,DR,DR 1012174, South Brazil-2018,Brazil,End of Dec 2017 ,259 days (at 15 Sep 2018),Minor impact for agricultural drought in 87604 km2
"[65.5, 40.996]",Drought in Uzbekistan,Drought in Uzbekistan,Green Drought in Uzbekistan from: 21 Nov 2017  to: 06 Sep 2018 .,Green,1,Green,0.75,Uzbekistan,2017-11-21T00:00:00,2018-09-06T09:57:00,18686.0,Minor impact for agricultural drought in 18686 km2,GDO,UZB,DR,DR 1012172, Central Asia-2018,Uzbekistan,End of Nov 2017 ,289 days (at 15 Sep 2018),Minor impact for agricultural drought in 18686 km2
"[11.087, 53.882]","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",2017-07-21T00:00:00,2019-02-09T15:07:00,80936.0,Minor impact for agricultural drought in 80936 km2,GDO,DEU,DR,DR 1012168, Central Northern Europe-2018,"Germany, Denmark, France, Latvia, Poland, Sweden",End of Jul 2017 ,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
"[35.0, 48.0005]","Drought in Albania, Austria, Bosnia  and  Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine","Drought in Albania, Austria, Bosnia  and  Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine","Green Drought in Albania, Austria, Bosnia  and  Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine from: 21 Apr 2018  to: 24 Nov 2018 .",Green,1,Green,0.5,"Albania, Austria, Bosnia & Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine",2018-04-21T00:00:00,2018-11-24T16:27:00,1677855.0,Minor impact for agricultural drought in 1677855 km2,GDO,ALB,DR,DR 1012247," Eastern Europe, Don, Volga-2018","Albania, Austria, Bosnia & Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine",End of Apr 2018 ,218 days (at 23 Dec 2018),Minor impact for agricultural drought in 1677855 km2
"[144.5, -33.5]",Drought in Australia,Drought in Australia,Orange Drought in Australia from: 21 Feb 2018  to: 24 Nov 2018 .,Orange,2,Orange,1.0,Australia,2018-02-21T00:00:00,2018-11-24T16:27:00,142608.0,Medium impact for agricultural drought in 142608 km2,GDO,AUS,DR,DR 1012191, New South Wales (Australia)-2018,Australia,End of Feb 2018 ,277 days (at 23 Dec 2018),Medium impact for agricultural drought in 142608 km2
"[22.697, -33.111]",Drought in South Africa,Drought in South Africa,Green Drought in South Africa from: 21 Apr 2018  to: 10 Oct 2018 .,Green,1,Green,0.75,South Africa,2018-04-21T00:00:00,2018-10-10T08:17:00,52380.0,Minor impact for agricultural drought in 52380 km2,GDO,ZAF,DR,DR 1012219, South Africa-2018,South Africa,End of Apr 2018 ,172 days (at 19 Oct 2018),Minor impact for agricultural drought in 52380 km2
"[46.464, -19.498]",Drought in Madagascar,Drought in Madagascar,Orange Drought in Madagascar from: 21 Mar 2018  to: 13 Sep 2018 .,Orange,2,Orange,1.5,Madagascar,2018-03-21T00:00:00,2018-09-13T13:57:00,68692.0,Medium impact for agricultural drought in 68692 km2,GDO,MDG,DR,DR 1012304, Madagascar-2018,Madagascar,End of Mar 2018 ,177 days (at 22 Sep 2018),Medium impact for agricultural drought in 68692 km2
"[-50.105, -21.917]",Drought in Brazil,Drought in Brazil,Green Drought in Brazil from: 21 Dec 2017  to: 06 Sep 2018 .,Green,1,Green,0.5,Brazil,2017-12-21T00:00:00,2018-09-06T09:57:00,87604.0,Minor impact for agricultural drought in 87604 km2,GDO,BRA,DR,DR 1012174, South Brazil-2018,Brazil,End of Dec 2017 ,259 days (at 15 Sep 2018),Minor impact for agricultural drought in 87604 km2
"[65.5, 40.996]",Drought in Uzbekistan,Drought in Uzbekistan,Green Drought in Uzbekistan from: 21 Nov 2017  to: 06 Sep 2018 .,Green,1,Green,0.75,Uzbekistan,2017-11-21T00:00:00,2018-09-06T09:57:00,18686.0,Minor impact for agricultural drought in 18686 km2,GDO,UZB,DR,DR 1012172, Central Asia-2018,Uzbekistan,End of Nov 2017 ,289 days (at 15 Sep 2018),Minor impact for agricultural drought in 18686 km2
"[113.779, -7.899]",Drought in Indonesia,Drought in Indonesia,Green Drought in Indonesia from: 21 Apr 2018  to: 29 Aug 2018 .,Green,1,Green,0.75,Indonesia,2018-04-21T00:00:00,2018-08-29T15:17:00,78469.0,Minor impact for agricultural drought in 78469 km2,GDO,IDN,DR,DR 1012212, Indonesia-2018,Indonesia,End of Apr 2018 ,131 days (at 28 Sep 2018),Minor impact for agricultural drought in 78469 km2
"[11.087, 53.882]","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",2017-07-21T00:00:00,2019-02-09T15:07:00,80936.0,Minor impact for agricultural drought in 80936 km2,GDO,DEU,DR,DR 1012168, Central Northern Europe-2018,"Germany, Denmark, France, Latvia, Poland, Sweden",End of Jul 2017 ,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
"[-38.05, -9.451]",Drought in Brazil,Drought in Brazil,Green Drought in Brazil from: 21 May 2018  to: 30 Dec 2018 .,Green,1,Green,0.75,Brazil,2018-05-21T00:00:00,2018-12-30T14:05:00,104035.0,Minor impact for agricultural drought in 104035 km2,GDO,BRA,DR,DR 1012396, Nordeste (Brasil)-2018,Brazil,End of May 2018 ,224 days (at 29 Jan 2019),Minor impact for agricultural drought in 104035 km2
"[35.0, 48.0005]","Drought in Albania, Austria, Bosnia  and  Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine","Drought in Albania, Austria, Bosnia  and  Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine","Green Drought in Albania, Austria, Bosnia  and  Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine from: 21 Apr 2018  to: 24 Nov 2018 .",Green,1,Green,0.5,"Albania, Austria, Bosnia & Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine",2018-04-21T00:00:00,2018-11-24T16:27:00,1677855.0,Minor impact for agricultural drought in 1677855 km2,GDO,ALB,DR,DR 1012247," Eastern Europe, Don, Volga-2018","Albania, Austria, Bosnia & Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine",End of Apr 2018 ,218 days (at 23 Dec 2018),Minor impact for agricultural drought in 1677855 km2
"[144.5, -33.5]",Drought in Australia,Drought in Australia,Orange Drought in Australia from: 21 Feb 2018  to: 24 Nov 2018 .,Orange,2,Orange,1.0,Australia,2018-02-21T00:00:00,2018-11-24T16:27:00,142608.0,Medium impact for agricultural drought in 142608 km2,GDO,AUS,DR,DR 1012191, New South Wales (Australia)-2018,Australia,End of Feb 2018 ,277 days (at 23 Dec 2018),Medium impact for agricultural drought in 142608 km2
"[-108.489, 39.448]",Drought in United States,Drought in United States,Green Drought in United States from: 21 May 2018  to: 28 Oct 2018 .,Green,1,Green,0.5,United States,2018-05-21T00:00:00,2018-10-28T15:37:00,229250.0,Minor impact for agricultural drought in 229250 km2,GDO,USA,DR,DR 1012604, Colorado-Utah (USA)-2018,United States,End of May 2018 ,161 days (at 27 Nov 2018),Minor impact for agricultural drought in 229250 km2
"[-14.494, 12.496]","Drought in The Gambia, Guinea, Guinea-Bissau, Senegal","Drought in The Gambia, Guinea, Guinea-Bissau, Senegal","Green Drought in The Gambia, Guinea, Guinea-Bissau, Senegal from: 21 May 2018  to: 10 Oct 2018 .",Green,1,Green,0.75,"The Gambia, Guinea, Guinea-Bissau, Senegal",2018-05-21T00:00:00,2018-10-10T08:17:00,59944.0,Minor impact for agricultural drought in 59944 km2,GDO,GMB,DR,DR 1012255, Guinea-2018,"The Gambia, Guinea, Guinea-Bissau, Senegal",End of May 2018 ,142 days (at 19 Oct 2018),Minor impact for agricultural drought in 59944 km2
"[22.697, -33.111]",Drought in South Africa,Drought in South Africa,Green Drought in South Africa from: 21 Apr 2018  to: 10 Oct 2018 .,Green,1,Green,0.75,South Africa,2018-04-21T00:00:00,2018-10-10T08:17:00,52380.0,Minor impact for agricultural drought in 52380 km2,GDO,ZAF,DR,DR 1012219, South Africa-2018,South Africa,End of Apr 2018 ,172 days (at 19 Oct 2018),Minor impact for agricultural drought in 52380 km2
"[-49.498, -5.222]",Drought in Brazil,Drought in Brazil,Green Drought in Brazil from: 11 May 2018  to: 10 Oct 2018 .,Green,1,Green,0.25,Brazil,2018-05-11T00:00:00,2018-10-10T08:17:00,220613.0,Minor impact for agricultural drought in 220613 km2,GDO,BRA,DR,DR 1012244, Parà (Brazil)-2018,Brazil,Middle of May 2018 ,152 days (at 19 Oct 2018),Minor impact for agricultural drought in 220613 km2
"[46.464, -19.498]",Drought in Madagascar,Drought in Madagascar,Orange Drought in Madagascar from: 21 Mar 2018  to: 13 Sep 2018 .,Orange,2,Orange,1.5,Madagascar,2018-03-21T00:00:00,2018-09-13T13:57:00,68692.0,Medium impact for agricultural drought in 68692 km2,GDO,MDG,DR,DR 1012304, Madagascar-2018,Madagascar,End of Mar 2018 ,177 days (at 22 Sep 2018),Medium impact for agricultural drought in 68692 km2
"[-50.105, -21.917]",Drought in Brazil,Drought in Brazil,Green Drought in Brazil from: 21 Dec 2017  to: 06 Sep 2018 .,Green,1,Green,0.5,Brazil,2017-12-21T00:00:00,2018-09-06T09:57:00,87604.0,Minor impact for agricultural drought in 87604 km2,GDO,BRA,DR,DR 1012174, South Brazil-2018,Brazil,End of Dec 2017 ,259 days (at 15 Sep 2018),Minor impact for agricultural drought in 87604 km2
"[65.5, 40.996]",Drought in Uzbekistan,Drought in Uzbekistan,Green Drought in Uzbekistan from: 21 Nov 2017  to: 06 Sep 2018 .,Green,1,Green,0.75,Uzbekistan,2017-11-21T00:00:00,2018-09-06T09:57:00,18686.0,Minor impact for agricultural drought in 18686 km2,GDO,UZB,DR,DR 1012172, Central Asia-2018,Uzbekistan,End of Nov 2017 ,289 days (at 15 Sep 2018),Minor impact for agricultural drought in 18686 km2
"[113.779, -7.899]",Drought in Indonesia,Drought in Indonesia,Green Drought in Indonesia from: 21 Apr 2018  to: 29 Aug 2018 .,Green,1,Green,0.75,Indonesia,2018-04-21T00:00:00,2018-08-29T15:17:00,78469.0,Minor impact for agricultural drought in 78469 km2,GDO,IDN,DR,DR 1012212, Indonesia-2018,Indonesia,End of Apr 2018 ,131 days (at 28 Sep 2018),Minor impact for agricultural drought in 78469 km2
"[-97.0, 31.998]",Drought in United States,Drought in United States,Green Drought in United States from: 21 May 2018  to: 20 Aug 2018 .,Green,1,Green,0.5,United States,2018-05-21T00:00:00,2018-08-20T10:37:15,41910.0,Minor impact for agricultural drought in 41910 km2,GDO,USA,DR,DR 1012333, Texas-2018,United States,End of May 2018 ,91 days (at 29 Aug 2018),Minor impact for agricultural drought in 41910 km2
"[80.962, 18.303]","Drought in China, India, Myanmar, Nepal","Drought in China, India, Myanmar, Nepal","Orange Drought in China, India, Myanmar, Nepal from: 21 Jun 2018  to: 16 Feb 2019 .",Orange,2,Orange,1.5,"China, India, Myanmar, Nepal",2018-06-21T00:00:00,2019-02-16T15:47:00,106336.0,Medium impact for agricultural drought in 106336 km2,GDO,CHN,DR,DR 1012538, India-2018,"China, India, Myanmar, Nepal",End of Jun 2018 ,241 days (at 25 Feb 2019),Medium impact for agricultural drought in 106336 km2
"[11.087, 53.882]","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",2017-07-21T00:00:00,2019-02-09T15:07:00,80936.0,Minor impact for agricultural drought in 80936 km2,GDO,DEU,DR,DR 1012168, Central Northern Europe-2018,"Germany, Denmark, France, Latvia, Poland, Sweden",End of Jul 2017 ,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
"[-38.05, -9.451]",Drought in Brazil,Drought in Brazil,Green Drought in Brazil from: 21 May 2018  to: 30 Dec 2018 .,Green,1,Green,0.75,Brazil,2018-05-21T00:00:00,2018-12-30T14:05:00,104035.0,Minor impact for agricultural drought in 104035 km2,GDO,BRA,DR,DR 1012396, Nordeste (Brasil)-2018,Brazil,End of May 2018 ,224 days (at 29 Jan 2019),Minor impact for agricultural drought in 104035 km2
"[35.0, 48.0005]","Drought in Albania, Austria, Bosnia  and  Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine","Drought in Albania, Austria, Bosnia  and  Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine","Green Drought in Albania, Austria, Bosnia  and  Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine from: 21 Apr 2018  to: 24 Nov 2018 .",Green,1,Green,0.5,"Albania, Austria, Bosnia & Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine",2018-04-21T00:00:00,2018-11-24T16:27:00,1677855.0,Minor impact for agricultural drought in 1677855 km2,GDO,ALB,DR,DR 1012247," Eastern Europe, Don, Volga-2018","Albania, Austria, Bosnia & Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine",End of Apr 2018 ,218 days (at 23 Dec 2018),Minor impact for agricultural drought in 1677855 km2
"[144.5, -33.5]",Drought in Australia,Drought in Australia,Orange Drought in Australia from: 21 Feb 2018  to: 24 Nov 2018 .,Orange,2,Orange,1.0,Australia,2018-02-21T00:00:00,2018-11-24T16:27:00,142608.0,Medium impact for agricultural drought in 142608 km2,GDO,AUS,DR,DR 1012191, New South Wales (Australia)-2018,Australia,End of Feb 2018 ,277 days (at 23 Dec 2018),Medium impact for agricultural drought in 142608 km2
"[86.74, 24.199]","Drought in Bangladesh, India, Myanmar, Nepal","Drought in Bangladesh, India, Myanmar, Nepal","Green Drought in Bangladesh, India, Myanmar, Nepal from: 21 Jun 2018  to: 16 Nov 2018 .",Green,1,Green,0.75,"Bangladesh, India, Myanmar, Nepal",2018-06-21T00:00:00,2018-11-16T15:57:00,485175.0,Minor impact for agricultural drought in 485175 km2,GDO,BGD,DR,DR 1012429, Ganges Valley - Bangladesh-2018,"Bangladesh, India, Myanmar, Nepal",End of Jun 2018 ,149 days (at 25 Nov 2018),Minor impact for agricultural drought in 485175 km2
"[-108.489, 39.448]",Drought in United States,Drought in United States,Green Drought in United States from: 21 May 2018  to: 28 Oct 2018 .,Green,1,Green,0.5,United States,2018-05-21T00:00:00,2018-10-28T15:37:00,229250.0,Minor impact for agricultural drought in 229250 km2,GDO,USA,DR,DR 1012604, Colorado-Utah (USA)-2018,United States,End of May 2018 ,161 days (at 27 Nov 2018),Minor impact for agricultural drought in 229250 km2
